Importer,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Exporter
India,140,278,37,274,136,157,354,715,723,855,544,650,77,100,104,313,271,422,425,234,276,363,306,267,365,199,305,284,177,270,309,528,492,363,363,261,260,679,190,367,266,275,155,17,17,97,47,97,39,39,,,18,,104,117,,164,224,112,120,140,160,140,140,140,149,UK
Indonesia,,,,,,,18,,3,3,41,90,9,,,,,,,,8,,,,,1,14,,,6,63,57,,43,26,238,255,165,1,1,,,30,13,13,26,191,49,66,127,66,,,,,,,,,,,,,,529,24,41,UK
Iran,,,,,,,,,,2,,,,,,,,79,,49,55,297,718,656,492,691,49,79,250,152,,4,,,125,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Iraq,,,59,55,20,95,79,,54,,,,,90,28,81,44,,,,,2,,,,,24,24,,,6,,44,,,,7,10,7,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,UK
Ireland,1,,,,,,8,,,1,1,,,,,,,,,,,9,,,,,,,,,12,6,,,2,,7,,24,,,,,,,,,,3,,,,,,,,,,,,,,,,33,33,33,UK
Israel,25,11,1,18,,17,179,,9,19,62,11,59,64,55,45,60,121,56,35,70,35,35,35,72,210,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Italy,16,32,128,96,3,106,36,48,,,,2,,,2,6,,15,6,,,9,9,9,2,,,,,2,6,6,8,8,5,5,5,5,,30,44,48,42,18,34,192,87,232,22,2,,,36,38,15,34,70,85,90,,,30,22,12,12,12,16,UK
Jamaica,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Japan,,,,1,,,,13,,7,11,11,4,,,,,,,,,,,,13,13,20,39,39,39,39,52,61,75,69,78,85,48,75,90,84,53,22,29,9,37,19,19,9,44,32,22,32,44,32,44,47,12,20,23,33,13,8,33,16,13,13,UK
Jordan,0,,0,0,27,34,52,,44,4,30,15,55,38,33,36,15,38,16,117,11,19,11,53,54,1,1,,,,,136,113,176,113,113,,,14,23,,24,,,,,,,,18,83,114,117,122,69,,,,,,1,,,,,1,,UK
Kenya,,,,,,,,,,,,,,,5,,16,,1,3,,15,1,,24,18,1,1,2,32,67,84,53,13,12,,,125,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Kuwait,,,,0,5,1,,,2,,44,,10,34,46,25,,,92,93,53,53,30,,,,,,160,162,,7,5,41,49,31,68,17,,0,,,,,,102,93,58,,8,32,,,,,,,,,,3,3,,,,,,UK
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,UK
Lebanon,,,2,5,6,8,,1,23,11,,,,,,19,,,,,,,,,,9,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Libya,,,,,,,,3,,0,14,17,,,,,19,12,17,111,11,,,126,,,4,4,4,4,18,23,11,25,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,UK
Madagascar,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Malawi,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,10,14,,,,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,UK
Malaysia,,,,,,,,,13,18,5,1,31,68,92,10,36,107,11,,,86,9,,,,,36,4,4,,,,38,2,0,,,2,11,,5,13,,257,71,16,36,0,398,,,20,16,3,32,37,50,,3,8,,,,,,23,UK
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,,UK
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,2,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,UK
Mauritius,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,UK
Mexico,,,,,,,,,,,,1,,,,,,,,,,4,,,40,79,41,15,13,26,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,UK
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Myanmar,4,,,16,31,16,30,49,30,2,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,UK
NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Nepal,,,,,,,,,,,,,,,,2,,,,,3,3,3,,,9,,,,,,1,,,3,1,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,UK
Netherlands,96,123,123,343,340,467,629,304,242,83,47,,,,12,,,626,129,6,9,9,3,,,15,15,15,23,75,90,64,27,33,,,30,,,,0,22,10,20,20,13,3,,,,,,10,10,10,10,1,,,,,,,,,,,UK
New Zealand,41,63,115,20,,38,148,90,58,,111,111,,5,,9,168,,,,,125,14,13,0,42,5,34,,,,,62,95,,1,0,5,5,5,2,2,2,2,,,,,,,,,,,,10,,,,,,,,,,,,UK
Nigeria,,,,,,,,,,5,,1,8,1,2,1,8,3,7,1,,,61,4,12,,,35,58,24,98,5,30,19,156,204,48,,,,,,40,33,29,,,,,,,,,,,,,,,,,,,,,,,UK
North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Norway,153,,58,7,,,,,,,,,,,,,,,,,,,68,,,,12,,7,,,35,20,16,16,14,,,,,,,7,,,,7,26,13,,65,,,,,,,,,,,40,40,,,,,UK
Oman,,,,,,,,,,1,1,,,1,1,1,,7,5,36,15,35,3,57,36,70,150,250,78,25,,11,107,246,78,70,16,,13,87,11,,,10,119,218,142,105,9,,98,14,19,3,25,25,,,,,,,,289,145,,,UK
Pakistan,159,169,145,95,92,60,3,287,185,,,,,,,28,,3,28,29,,,,,60,,,,,,,,198,,,,,,105,3,1,1,,184,376,,,,,,,,,,,,,,1,,,,,1,,,,UK
Panama,,,,,,,,,,,,,,,,,,,,,11,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,UK
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Peru,,24,,,,,101,29,,131,119,,,,12,24,10,10,,34,,4,,198,,11,11,13,9,,,2,4,,,,,1,,,,,,,,16,,,,,,,,,,,,,,,,,,4,4,,,UK
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,34,1,2,5,9,4,,,,,,,,,,,2,3,13,11,40,,,,,,,,,,3,,,,,,,,,,UK
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,19,UK
Portugal,,5,,,,24,26,9,2,26,2,31,4,4,2,21,,,,,,,,,5,14,,,,,,,,4,,,,,,5,5,,,86,,5,,,10,2,,,,,,,,,,,,,,,,,,UK
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,,,,,,20,82,76,2,2,,,,,,,,,,97,33,7,3,,,,,,,,,,,,,,,,,,UK
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,6,6,6,8,16,20,24,25,26,22,8,1,,,,,,,,,,1,1,218,219,1,,,,,,,,,,,UK
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,UK
Saudi Arabia,0,,1,0,0,0,1,0,1,,,,,,5,,91,35,249,246,5,10,21,25,,,15,13,3,,,12,,30,30,30,425,429,72,929,653,352,10,185,,,220,1029,630,8,35,,,,,,,,29,458,550,438,216,746,615,751,843,UK
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Singapore,,,,,,,6,,,,,,,,,1,8,,6,115,39,81,34,44,8,,7,,,,,,62,62,,,,,,,,,,,3,7,3,6,73,72,10,10,,,,,,,,,,,,,,,,UK
Somalia,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,UK
South Africa,37,,91,53,49,106,125,173,169,67,10,,166,114,121,165,161,8,8,6,30,8,21,13,13,5,5,7,3,4,2,2,2,74,74,,,5,,,,,,,,,,,,,,,,,,12,120,53,80,,6,,4,,,2,,UK
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,25,19,110,106,87,95,,2,,5,,68,110,41,,,12,12,,,,,,,,,,,111,UK
South Yemen,,,,,,,,,,,,,,,,,,27,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Spain,,,,,,,,,,5,,,,,,,,,,,,,,,,,110,,,5,114,45,,,,24,10,42,24,,,2,1,,,,31,24,11,91,87,,3,6,46,40,,,,,,,12,,,,,UK
Sri Lanka,0,,0,17,,8,1,2,19,8,4,,,,,,,,,,,19,,,,,,,,,,,,,,,3,1,1,,3,7,,,,,,,,,43,6,,,,,,,,,,,,,,,,UK
Sudan,,,,,,,,2,1,,8,15,9,,2,2,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Sweden,225,291,303,328,379,495,542,185,181,149,106,53,82,228,314,252,76,53,39,32,32,37,52,22,23,14,,,,,38,53,55,57,59,18,18,18,18,,,,20,,,,,,,,,,,,,,,,,2,6,6,6,,,,,UK
Switzerland,112,109,272,145,142,140,223,221,232,281,180,,,,142,145,136,,10,3,,60,98,38,38,60,72,,,,,,42,168,187,187,108,,,9,135,36,5,5,5,,,,,,,,,,35,70,70,105,,,,,,,,,,UK
Syria,12,0,20,18,53,,11,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,UK
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,15,15,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,UK
Thailand,34,2,2,2,5,,,,,,,,,,,,,,,,,6,2,84,,8,1,,25,,,26,32,29,42,8,3,5,4,4,4,3,204,,,4,4,,,,4,7,,,6,5,18,,,,,,5,50,,,,UK
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,12,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,UK
Trinidad and Tobago,,,,,,,,,,,,,,,,11,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,UK
Tunisia,,,,,,,,,,,,,,,,17,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Turkey,,,,,,,,52,37,310,,,,,,,,,,,,30,31,,,,,,,,,,,58,150,150,119,159,157,10,,,,,28,43,55,55,178,163,150,135,142,14,14,38,14,26,26,26,25,,,,,,,UK
UAE,,,,,,,,,,,,,,,,,,,2,5,69,20,2,2,,25,84,78,28,1,15,21,,73,85,85,20,1,9,12,15,16,20,226,59,36,34,68,83,22,,2,,,2,,,,,,,,,66,,,,UK
Uganda,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,UK
United States,329,650,620,1270,2430,1860,2040,1280,610,539,120,,,,,,,,,,,405,654,644,575,333,443,200,200,100,56,139,50,251,226,268,177,1616,1613,1617,237,158,224,355,324,310,217,142,152,143,218,192,160,134,195,172,203,246,293,284,211,177,236,76,24,24,84,UK
Unknown recipient(s),,,,,,,,,,,,,,9,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Uruguay,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,1,,,5,5,2,,,2,,,,,,,,,,,,,,,UK
Venezuela,61,,,171,120,7,197,,94,,,,,18,,,24,24,,1,,,,,46,101,4,,,1,,,,,,,,,,11,38,38,,,,,,,,,,,,,,4,,,,,,,,,,,,UK
Yugoslavia,,119,116,,3,,74,,,3,5,4,2,9,15,21,14,6,6,6,4,4,4,4,4,4,9,12,15,15,12,8,12,20,24,28,24,24,24,24,20,12,2,,,,,,,,,,,,,,,,,,,,,,,,,UK
Zambia,,,,,,,,,,,,,,,4,,17,,,,,122,3,3,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UK
Zimbabwe,1,11,2,8,36,27,8,,61,,15,,14,14,,,,,,,,,,,,,,,,,,7,72,,8,,,6,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,UK
Brazil,,,,,,76,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Cambodia,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Gabon,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Indonesia,,,,,,,,,,0,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Myanmar,,,,,,,,,1,1,1,,,,,,,,,19,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Philippines,,,,,,,,,2,40,,,,,,,1,,,,,,,,28,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
South Korea,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
South Vietnam,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Sweden,,,,,,,,,,,,,,,,,,,,,,,8,34,25,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Taiwan (ROC),,,,,,34,,74,0,0,,,,,,,,,,13,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Thailand,,,,,,,,,,,,,,8,14,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,Japan
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,126,153,162,158,113,32,,,,,,,,,,40,,,,,,,,,,Japan
Uruguay,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,Germany
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,,,,,,,3,,,,,,,,,,,8,29,43,578,Germany
Argentina,,,,,,,,,,,,,,,,,,,,,3,3,,2,358,,5,,,9,25,89,106,813,521,403,165,133,3,,130,,,,161,7,,18,25,,130,,,,130,,,,,,,,,2,2,,,Germany
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,53,66,125,,,,,,,,,,,,,,,,,,251,,251,,,251,251,251,251,251,251,1,32,13,35,29,14,,7,9,32,Germany
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,65,30,,,0,4,5,4,7,4,244,190,285,,,,,2,,,Germany
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,29,,,88,,44,76,76,44,,,,,2,,,,,,,,,,,,,,,,,,,,,,,Germany
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,7,,,,Germany
Belgium,,,,,,,,,,,0,1,0,,,6,,,197,205,207,181,,,,44,44,90,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,10,10,10,6,,13,25,13,,Germany
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,Germany
Brazil,,,,,,,,,,,,,,,,,,,,3,,30,30,1,0,0,48,18,57,41,18,2,,,,1,1,1,1,176,1,5,5,,175,32,181,,,191,,,,,,170,,,4,65,137,172,37,43,47,40,,Germany
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,193,,,63,,,Germany
Burundi,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Cameroon,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,143,,,,,,,,,,,18,,,,,,,,,23,38,31,,,,,2,42,0,,,0,,,9,14,14,Germany
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,,Germany
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,38,4,,,,250,,1,,,7,17,2,,,,,,44,44,,5,,,,,1,1,86,156,172,162,10,8,,36,,,Germany
China,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,12,7,2,12,12,12,12,12,12,12,12,12,12,12,16,12,12,18,8,8,14,8,8,6,8,16,16,12,10,3,3,3,3,3,11,9,12,5,Germany
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,142,420,2,,,,,,,,,,,,17,17,,,,,3,,,,,,,,10,70,8,44,76,,Germany
Costa Rica,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,11,11,Germany
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,Germany
Denmark,,,,,,,,,,,,,6,6,5,5,,,,,80,,,,,,280,268,188,,1,1,1,,,,,,,0,61,51,0,21,21,10,21,1,10,10,1,16,27,42,86,47,,,,,,,24,,47,,,Germany
DR Congo,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Ecuador,,,,,,,,,,,,,,,,,,,,,,47,,,,,44,246,158,,,,5,14,10,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,Germany
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,,,,10,10,10,10,10,11,10,10,10,10,10,10,10,10,12,20,35,131,1,9,9,9,9,9,9,9,9,25,23,26,170,Germany
El Salvador,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,Germany
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,Germany
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,7,,6,,,9,,,2,7,2,,,,,,,,,,,,Germany
Ethiopia,,,,,,,,,,,,0,,,,,,,,,2,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6,3,,,,2,13,144,40,61,,,,2,,,,,198,10,37,26,3,,,,,8,8,,,8,Germany
France,,,,,,,,,,,,,3,,,,,,,,,,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,2,6,2,2,0,,8,,,8,8,Germany
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,0,Germany
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,Germany
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,Germany
Greece,,,,,,,,,,,10,,,,104,,,47,31,30,173,126,316,,,59,101,126,78,330,182,162,,193,136,50,0,,125,17,72,67,314,301,707,188,246,,516,101,124,,6,166,137,75,487,497,294,285,409,10,10,12,110,563,275,Germany
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,40,,,,,,,,,,,18,,,,,,,,,,,,,Germany
Iceland,,,,,,,,,,,,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
India,,,,,,,,,,,,,,,,,38,115,,,,,,,,115,,,,,,,,,3,8,431,34,36,44,48,54,242,30,224,10,12,15,12,15,168,24,18,12,5,5,15,18,18,41,57,32,7,18,23,45,22,Germany
Indonesia,,,,,16,24,24,16,22,92,99,,,,,,,,,,,,,,,,,1,21,27,21,263,12,10,6,10,4,,42,46,8,2,20,195,449,226,158,,,2,50,7,26,6,26,6,,,,1,,7,1,11,73,28,113,Germany
Iran,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,26,14,17,,,,30,23,17,,,,,,,,,,,,,,,,,,,,,36,18,,6,13,3,Germany
Ireland,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,3,5,,,,,,,,,,,,Germany
Israel,,,,,,,,,,,45,,63,70,12,11,,,273,105,263,14,,10,10,5,5,,5,5,10,5,5,,,,,,,,,5,,,1,1,8,4,1,500,266,16,21,85,13,19,13,23,13,13,19,25,13,88,313,313,13,Germany
Italy,,,,,,,,,,,,1,,,,,,,1,0,,193,229,66,322,272,267,267,267,141,141,15,56,60,60,62,43,43,41,10,10,10,12,8,8,35,35,5,5,6,,20,29,29,29,45,330,330,55,57,75,12,12,11,,,280,Germany
Japan,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,1,1,1,1,1,,,,,,48,40,43,43,43,43,44,33,26,26,24,24,13,10,10,10,,,,,,,,,,2,2,7,9,5,5,5,,Germany
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,5,5,,,,,,,,,13,Germany
Katanga,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Germany
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,7,10,10,Germany
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,1,,,,Germany
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,63,195,,,,0,0,1,,,,3,,,,,8,12,2,3,3,2,,,,,,,,,,,,,Germany
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,6,,,,4,,,,,,,,,,,,5,9,5,5,,,Germany
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,Germany
